74;88;0.1
33;129;0.1
83;79;0.1
43;119;0.1
76;86;0.1
93;69;0.1
65;97;0.1
41;121;0.1
82;80;0.1
58;104;0.1
53;109;0.1
104;58;0.1
31;131;0.1
54;108;0.1
67;95;0.1
92;70;0.1
58;104;0.1
58;104;0.1
69;93;0.1
81;81;0.1
26;136;0.1
34;128;0.1
126;36;0.1
28;134;0.1
80;82;0.1
48;114;0.1
45;117;0.1
51;111;0.1
45;117;0.1
91;71;0.1
79;83;0.1
77;85;0.1
50;112;0.1
125;37;0.1
39;123;0.1
82;80;0.1
86;76;0.1
44;118;0.1
78;84;0.1
128;34;0.1
82;80;0.1
56;106;0.1
46;116;0.1
46;116;0.1
50;112;0.1
45;117;0.1
45;117;0.1
73;89;0.1
85;77;0.1
54;108;0.1
104;58;0.1
38;124;0.1
9;153;0.1
104;58;0.1
11;151;0.1
33;129;0.1
36;126;0.1
51;111;0.1
85;77;0.1
36;126;0.1
63;99;0.1
52;110;0.1
74;88;0.1
8;154;0.1
24;138;0.1
76;86;0.1
78;84;0.1
34;128;0.1
79;83;0.1
63;99;0.1
74;88;0.1
24;138;0.1
62;100;0.1
84;78;0.1
63;99;0.1
41;121;0.1
91;71;0.1
93;69;0.1
81;81;0.1
107;55;0.1
81;81;0.1
38;124;0.1
84;78;0.1
24;138;0.1
42;120;0.1
70;92;0.1
35;127;0.1
54;108;0.1
58;104;0.1
68;94;0.1
34;128;0.1
20;142;0.1
27;135;0.1
55;107;0.1
26;136;0.1
29;133;0.1
84;78;0.1
53;109;0.1
58;104;0.1
93;69;0.1
75;87;0.1
106;56;0.1
42;120;0.1
70;92;0.1
70;92;0.1
97;65;0.1
78;84;0.1
78;84;0.1
51;111;0.1
43;119;0.1
58;104;0.1
41;121;0.1
97;65;0.1
4;158;0.1
41;121;0.1
55;107;0.1
62;100;0.1
87;75;0.1
64;98;0.1
82;80;0.1
56;106;0.1
76;86;0.1
61;101;0.1
53;109;0.1
25;137;0.1
74;88;0.1
74;88;0.1
53;109;0.1
73;89;0.1
69;93;0.1
75;87;0.1
39;123;0.1
38;124;0.1
40;122;0.1
44;118;0.1
35;127;0.1
102;60;0.1
107;55;0.1
49;113;0.1
50;112;0.1
119;43;0.1
36;126;0.1
13;149;0.1
52;110;0.1
72;90;0.1
39;123;0.1
60;102;0.1
83;79;0.1
86;76;0.1
97;65;0.1
55;107;0.1
73;89;0.1
59;103;0.1
57;105;0.1
110;52;0.1
64;98;0.1
107;55;0.2
15;147;0.2
89;73;0.2
131;31;0.2
80;82;0.2
79;83;0.2
130;32;0.2
30;132;0.2
78;84;0.2
48;114;0.2
67;95;0.2
84;78;0.2
99;63;0.2
79;83;0.2
136;26;0.2
20;142;0.2
58;104;0.2
125;37;0.2
93;69;0.2
106;56;0.2
55;107;0.2
92;70;0.2
79;83;0.2
100;62;0.2
86;76;0.2
58;104;0.2
26;136;0.2
32;130;0.2
57;105;0.2
93;69;0.2
47;115;0.2
