PointsA; PointsB; (1000 it, A is random, B is mcts)
63;99
99;63
66;96
67;95
88;74
70;92
130;32
73;89
61;101
70;92
73;89
28;134
52;110
37;125
33;129
71;91
91;71
28;134
66;96
83;79
31;131
26;136
100;62
84;78
42;120
65;97
27;135
48;114
105;57
34;128
48;114
66;96
60;102
37;125
87;75
24;138
80;82
81;81
61;101
27;135
74;88
58;104
38;124
94;68
49;113
74;88
89;73
62;100
49;113
63;99
86;76
78;84
69;93
75;87
26;136
42;120
57;105
38;124
92;70
73;89
45;117
98;64
43;119
109;53
68;94
82;80
72;90
98;64
71;91
36;126
32;130
44;118
43;119
93;69
106;56
22;140
27;135
87;75
84;78
85;77
95;67
27;135
51;111
69;93
20;142
99;63
115;47
57;105
93;69
72;90
58;104
51;111
100;62
68;94
76;86
59;103
110;52
79;83
54;108
39;123
29;133
21;141
96;66
79;83
42;120
61;101
0;162
60;102
54;108
74;88
26;136
49;113
93;69
64;98
46;116
21;141
58;104
54;108
35;127
17;145
34;128
93;69
120;42
2;160
55;107
57;105
27;135
100;62
52;110
86;76
74;88
85;77
89;73
50;112
54;108
50;112
93;69
50;112
47;115
117;45
92;70
54;108
13;149
57;105
28;134
116;46
90;72
102;60
51;111
10;152
59;103
96;66
82;80
45;117
82;80
115;47
101;61
27;135
100;62
60;102
78;84
34;128
103;59
35;127
51;111
54;108
59;103
50;112
98;64
63;99
62;100
30;132
48;114
101;61
72;90
88;74
66;96
29;133
50;112
96;66
97;65
31;131
128;34
41;121
37;125
76;86
95;67
90;72
91;71
123;39
92;70
75;87
81;81
44;118
104;58
35;127
58;104
144;18
70;92
58;104
44;118
24;138
84;78
57;105
60;102
52;110
107;55
26;136
112;50
32;130
100;62
39;123
130;32
37;125
26;136
95;67
86;76
58;104
71;91
68;94
74;88
74;88
45;117
60;102
111;51
66;96
75;87
68;94
120;42
55;107
51;111
81;81
69;93
31;131
26;136
70;92
103;59
55;107
15;147
21;141
75;87
80;82
78;84
92;70
92;70
20;142
125;37
42;120
45;117
96;66
10;152
54;108
56;106
83;79
88;74
59;103
107;55
85;77
108;54
75;87
78;84
94;68
82;80
52;110
62;100
44;118
59;103
37;125
64;98
23;139
66;96
48;114
48;114
69;93
34;128
93;69
0;162
46;116
77;85
70;92
46;116
73;89
95;67
22;140
31;131
38;124
120;42
51;111
46;116
68;94
64;98
127;35
50;112
108;54
87;75
63;99
64;98
60;102
118;44
61;101
30;132
72;90
35;127
78;84
55;107
34;128
45;117
50;112
50;112
45;117
101;61
74;88
37;125
50;112
28;134
77;85
62;100
34;128
43;119
76;86
55;107
65;97
43;119
82;80
52;110
106;56
50;112
72;90
44;118
63;99
126;36
99;63
31;131
54;108
55;107
17;145
